article_id,article_title,category,entity_text,start_pos,end_pos,pattern
,第十七条の三,ARTICLE_REFERENCE,第十七条の三,0,6,第([一二三四五六七八九十百千万〇０-９0-9]+)条(の[一二三四五六七八九十百千万〇０-９0-9]+)?
,第十七条の四,ARTICLE_REFERENCE,第十七条の四,0,6,第([一二三四五六七八九十百千万〇０-９0-9]+)条(の[一二三四五六七八九十百千万〇０-９0-9]+)?
,第十七条の五,ARTICLE_REFERENCE,第十七条の五,0,6,第([一二三四五六七八九十百千万〇０-９0-9]+)条(の[一二三四五六七八九十百千万〇０-９0-9]+)?
,第十八条,ARTICLE_REFERENCE,第十八条,0,4,第([一二三四五六七八九十百千万〇０-９0-9]+)条(の[一二三四五六七八九十百千万〇０-９0-9]+)?
,第十八条の二,ARTICLE_REFERENCE,第十八条の二,0,6,第([一二三四五六七八九十百千万〇０-９0-9]+)条(の[一二三四五六七八九十百千万〇０-９0-9]+)?
,第十九条,ARTICLE_REFERENCE,第十九条,0,4,第([一二三四五六七八九十百千万〇０-９0-9]+)条(の[一二三四五六七八九十百千万〇０-９0-9]+)?
,第二十条,ARTICLE_REFERENCE,第二十条,0,4,第([一二三四五六七八九十百千万〇０-９0-9]+)条(の[一二三四五六七八九十百千万〇０-９0-9]+)?
,第二十一条,ARTICLE_REFERENCE,第二十一条,0,5,第([一二三四五六七八九十百千万〇０-９0-9]+)条(の[一二三四五六七八九十百千万〇０-９0-9]+)?
,第二十二条,ARTICLE_REFERENCE,第二十二条,0,5,第([一二三四五六七八九十百千万〇０-９0-9]+)条(の[一二三四五六七八九十百千万〇０-９0-9]+)?
,第二十三条,ARTICLE_REFERENCE,第二十三条,0,5,第([一二三四五六七八九十百千万〇０-９0-9]+)条(の[一二三四五六七八九十百千万〇０-９0-9]+)?
,第二十四条,ARTICLE_REFERENCE,第二十四条,0,5,第([一二三四五六七八九十百千万〇０-９0-9]+)条(の[一二三四五六七八九十百千万〇０-９0-9]+)?
,第二十五条,ARTICLE_REFERENCE,第二十五条,0,5,第([一二三四五六七八九十百千万〇０-９0-9]+)条(の[一二三四五六七八九十百千万〇０-９0-9]+)?
,第二十六条,ARTICLE_REFERENCE,第二十六条,0,5,第([一二三四五六七八九十百千万〇０-９0-9]+)条(の[一二三四五六七八九十百千万〇０-９0-9]+)?
,第二十七条,ARTICLE_REFERENCE,第二十七条,0,5,第([一二三四五六七八九十百千万〇０-９0-9]+)条(の[一二三四五六七八九十百千万〇０-９0-9]+)?
,第二十八条,ARTICLE_REFERENCE,第二十八条,0,5,第([一二三四五六七八九十百千万〇０-９0-9]+)条(の[一二三四五六七八九十百千万〇０-９0-9]+)?
,第二十九条,ARTICLE_REFERENCE,第二十九条,0,5,第([一二三四五六七八九十百千万〇０-９0-9]+)条(の[一二三四五六七八九十百千万〇０-９0-9]+)?
,第二十九条の二,ARTICLE_REFERENCE,第二十九条の二,0,7,第([一二三四五六七八九十百千万〇０-９0-9]+)条(の[一二三四五六七八九十百千万〇０-９0-9]+)?
,第三十条,ARTICLE_REFERENCE,第三十条,0,4,第([一二三四五六七八九十百千万〇０-９0-9]+)条(の[一二三四五六七八九十百千万〇０-９0-9]+)?
,第三十一条,ARTICLE_REFERENCE,第三十一条,0,5,第([一二三四五六七八九十百千万〇０-９0-9]+)条(の[一二三四五六七八九十百千万〇０-９0-9]+)?
,第三十二条,ARTICLE_REFERENCE,第三十二条,0,5,第([一二三四五六七八九十百千万〇０-９0-9]+)条(の[一二三四五六七八九十百千万〇０-９0-9]+)?
,第三十三条,ARTICLE_REFERENCE,第三十三条,0,5,第([一二三四五六七八九十百千万〇０-９0-9]+)条(の[一二三四五六七八九十百千万〇０-９0-9]+)?
,第三十四条,ARTICLE_REFERENCE,第三十四条,0,5,第([一二三四五六七八九十百千万〇０-９0-9]+)条(の[一二三四五六七八九十百千万〇０-９0-9]+)?
,第三十四条の二,ARTICLE_REFERENCE,第三十四条の二,0,7,第([一二三四五六七八九十百千万〇０-９0-9]+)条(の[一二三四五六七八九十百千万〇０-９0-9]+)?
,第三十四条の三,ARTICLE_REFERENCE,第三十四条の三,0,7,第([一二三四五六七八九十百千万〇０-９0-9]+)条(の[一二三四五六七八九十百千万〇０-９0-9]+)?
,第三十四条の四,ARTICLE_REFERENCE,第三十四条の四,0,7,第([一二三四五六七八九十百千万〇０-９0-9]+)条(の[一二三四五六七八九十百千万〇０-９0-9]+)?
,第三十四条の五,ARTICLE_REFERENCE,第三十四条の五,0,7,第([一二三四五六七八九十百千万〇０-９0-9]+)条(の[一二三四五六七八九十百千万〇０-９0-9]+)?
,第三十五条,ARTICLE_REFERENCE,第三十五条,0,5,第([一二三四五六七八九十百千万〇０-９0-9]+)条(の[一二三四五六七八九十百千万〇０-９0-9]+)?
,第三十六条,ARTICLE_REFERENCE,第三十六条,0,5,第([一二三四五六七八九十百千万〇０-９0-9]+)条(の[一二三四五六七八九十百千万〇０-９0-9]+)?
,第三十六条の二,ARTICLE_REFERENCE,第三十六条の二,0,7,第([一二三四五六七八九十百千万〇０-９0-9]+)条(の[一二三四五六七八九十百千万〇０-９0-9]+)?
,第三十七条,ARTICLE_REFERENCE,第三十七条,0,5,第([一二三四五六七八九十百千万〇０-９0-9]+)条(の[一二三四五六七八九十百千万〇０-９0-9]+)?
,第三十八条,ARTICLE_REFERENCE,第三十八条,0,5,第([一二三四五六七八九十百千万〇０-９0-9]+)条(の[一二三四五六七八九十百千万〇０-９0-9]+)?
,第三十八条の二,ARTICLE_REFERENCE,第三十八条の二,0,7,第([一二三四五六七八九十百千万〇０-９0-9]+)条(の[一二三四五六七八九十百千万〇０-９0-9]+)?
,第三十八条の三,ARTICLE_REFERENCE,第三十八条の三,0,7,第([一二三四五六七八九十百千万〇０-９0-9]+)条(の[一二三四五六七八九十百千万〇０-９0-9]+)?
,第三十八条の四,ARTICLE_REFERENCE,第三十八条の四,0,7,第([一二三四五六七八九十百千万〇０-９0-9]+)条(の[一二三四五六七八九十百千万〇０-９0-9]+)?
,第三十八条の五,ARTICLE_REFERENCE,第三十八条の五,0,7,第([一二三四五六七八九十百千万〇０-９0-9]+)条(の[一二三四五六七八九十百千万〇０-９0-9]+)?
,第三十九条,ARTICLE_REFERENCE,第三十九条,0,5,第([一二三四五六七八九十百千万〇０-９0-9]+)条(の[一二三四五六七八九十百千万〇０-９0-9]+)?
,第四十条,ARTICLE_REFERENCE,第四十条,0,4,第([一二三四五六七八九十百千万〇０-９0-9]+)条(の[一二三四五六七八九十百千万〇０-９0-9]+)?
,第四十一条,ARTICLE_REFERENCE,第四十一条,0,5,第([一二三四五六七八九十百千万〇０-９0-9]+)条(の[一二三四五六七八九十百千万〇０-９0-9]+)?
,第四十二条,ARTICLE_REFERENCE,第四十二条,0,5,第([一二三四五六七八九十百千万〇０-９0-9]+)条(の[一二三四五六七八九十百千万〇０-９0-9]+)?
,第四十三条,ARTICLE_REFERENCE,第四十三条,0,5,第([一二三四五六七八九十百千万〇０-９0-9]+)条(の[一二三四五六七八九十百千万〇０-９0-9]+)?
,第四十三条の二,ARTICLE_REFERENCE,第四十三条の二,0,7,第([一二三四五六七八九十百千万〇０-９0-9]+)条(の[一二三四五六七八九十百千万〇０-９0-9]+)?
,第四十三条の三,ARTICLE_REFERENCE,第四十三条の三,0,7,第([一二三四五六七八九十百千万〇０-９0-9]+)条(の[一二三四五六七八九十百千万〇０-９0-9]+)?
,第四十四条,ARTICLE_REFERENCE,第四十四条,0,5,第([一二三四五六七八九十百千万〇０-９0-9]+)条(の[一二三四五六七八九十百千万〇０-９0-9]+)?
,第四十五条,ARTICLE_REFERENCE,第四十五条,0,5,第([一二三四五六七八九十百千万〇０-９0-9]+)条(の[一二三四五六七八九十百千万〇０-９0-9]+)?
,第四十六条,ARTICLE_REFERENCE,第四十六条,0,5,第([一二三四五六七八九十百千万〇０-９0-9]+)条(の[一二三四五六七八九十百千万〇０-９0-9]+)?
,第四十六条の二,ARTICLE_REFERENCE,第四十六条の二,0,7,第([一二三四五六七八九十百千万〇０-９0-9]+)条(の[一二三四五六七八九十百千万〇０-９0-9]+)?
,第四十七条,ARTICLE_REFERENCE,第四十七条,0,5,第([一二三四五六七八九十百千万〇０-９0-9]+)条(の[一二三四五六七八九十百千万〇０-９0-9]+)?
,第四十八条,ARTICLE_REFERENCE,第四十八条,0,5,第([一二三四五六七八九十百千万〇０-９0-9]+)条(の[一二三四五六七八九十百千万〇０-９0-9]+)?
,第四十八条の二,ARTICLE_REFERENCE,第四十八条の二,0,7,第([一二三四五六七八九十百千万〇０-９0-9]+)条(の[一二三四五六七八九十百千万〇０-９0-9]+)?
,第四十八条の三,ARTICLE_REFERENCE,第四十八条の三,0,7,第([一二三四五六七八九十百千万〇０-９0-9]+)条(の[一二三四五六七八九十百千万〇０-９0-9]+)?
,第四十八条の四,ARTICLE_REFERENCE,第四十八条の四,0,7,第([一二三四五六七八九十百千万〇０-９0-9]+)条(の[一二三四五六七八九十百千万〇０-９0-9]+)?
,第四十八条の五,ARTICLE_REFERENCE,第四十八条の五,0,7,第([一二三四五六七八九十百千万〇０-９0-9]+)条(の[一二三四五六七八九十百千万〇０-９0-9]+)?
,第四十八条の六,ARTICLE_REFERENCE,第四十八条の六,0,7,第([一二三四五六七八九十百千万〇０-９0-9]+)条(の[一二三四五六七八九十百千万〇０-９0-9]+)?
,第四十八条の七,ARTICLE_REFERENCE,第四十八条の七,0,7,第([一二三四五六七八九十百千万〇０-９0-9]+)条(の[一二三四五六七八九十百千万〇０-９0-9]+)?
,第四十九条,ARTICLE_REFERENCE,第四十九条,0,5,第([一二三四五六七八九十百千万〇０-９0-9]+)条(の[一二三四五六七八九十百千万〇０-９0-9]+)?
,第五十条,ARTICLE_REFERENCE,第五十条,0,4,第([一二三四五六七八九十百千万〇０-９0-9]+)条(の[一二三四五六七八九十百千万〇０-９0-9]+)?
,第五十条の二,ARTICLE_REFERENCE,第五十条の二,0,6,第([一二三四五六七八九十百千万〇０-９0-9]+)条(の[一二三四五六七八九十百千万〇０-９0-9]+)?
,第五十一条,ARTICLE_REFERENCE,第五十一条,0,5,第([一二三四五六七八九十百千万〇０-９0-9]+)条(の[一二三四五六七八九十百千万〇０-９0-9]+)?
,第五十二条,ARTICLE_REFERENCE,第五十二条,0,5,第([一二三四五六七八九十百千万〇０-９0-9]+)条(の[一二三四五六七八九十百千万〇０-９0-9]+)?
,第五十三条,ARTICLE_REFERENCE,第五十三条,0,5,第([一二三四五六七八九十百千万〇０-９0-9]+)条(の[一二三四五六七八九十百千万〇０-９0-9]+)?
,第五十四条,ARTICLE_REFERENCE,第五十四条,0,5,第([一二三四五六七八九十百千万〇０-９0-9]+)条(の[一二三四五六七八九十百千万〇０-９0-9]+)?
,第五十五条から第六十三条まで,ARTICLE_REFERENCE,第五十五条,0,5,第([一二三四五六七八九十百千万〇０-９0-9]+)条(の[一二三四五六七八九十百千万〇０-９0-9]+)?
,第五十五条から第六十三条まで,ARTICLE_REFERENCE,第六十三条,7,12,第([一二三四五六七八九十百千万〇０-９0-9]+)条(の[一二三四五六七八九十百千万〇０-９0-9]+)?
,第六十四条,ARTICLE_REFERENCE,第六十四条,0,5,第([一二三四五六七八九十百千万〇０-９0-9]+)条(の[一二三四五六七八九十百千万〇０-９0-9]+)?
,第六十四条の二,ARTICLE_REFERENCE,第六十四条の二,0,7,第([一二三四五六七八九十百千万〇０-９0-9]+)条(の[一二三四五六七八九十百千万〇０-９0-9]+)?
,第六十四条の三,ARTICLE_REFERENCE,第六十四条の三,0,7,第([一二三四五六七八九十百千万〇０-９0-9]+)条(の[一二三四五六七八九十百千万〇０-９0-9]+)?
,第六十五条,ARTICLE_REFERENCE,第六十五条,0,5,第([一二三四五六七八九十百千万〇０-９0-9]+)条(の[一二三四五六七八九十百千万〇０-９0-9]+)?
,第六十六条,ARTICLE_REFERENCE,第六十六条,0,5,第([一二三四五六七八九十百千万〇０-９0-9]+)条(の[一二三四五六七八九十百千万〇０-９0-9]+)?
,第六十七条,ARTICLE_REFERENCE,第六十七条,0,5,第([一二三四五六七八九十百千万〇０-９0-9]+)条(の[一二三四五六七八九十百千万〇０-９0-9]+)?
,第六十七条の二,ARTICLE_REFERENCE,第六十七条の二,0,7,第([一二三四五六七八九十百千万〇０-９0-9]+)条(の[一二三四五六七八九十百千万〇０-９0-9]+)?
,第六十七条の三,ARTICLE_REFERENCE,第六十七条の三,0,7,第([一二三四五六七八九十百千万〇０-９0-9]+)条(の[一二三四五六七八九十百千万〇０-９0-9]+)?
,第六十七条の四,ARTICLE_REFERENCE,第六十七条の四,0,7,第([一二三四五六七八九十百千万〇０-９0-9]+)条(の[一二三四五六七八九十百千万〇０-９0-9]+)?
,第六十七条の五,ARTICLE_REFERENCE,第六十七条の五,0,7,第([一二三四五六七八九十百千万〇０-９0-9]+)条(の[一二三四五六七八九十百千万〇０-９0-9]+)?
,第六十七条の六,ARTICLE_REFERENCE,第六十七条の六,0,7,第([一二三四五六七八九十百千万〇０-９0-9]+)条(の[一二三四五六七八九十百千万〇０-９0-9]+)?
,第六十七条の七,ARTICLE_REFERENCE,第六十七条の七,0,7,第([一二三四五六七八九十百千万〇０-９0-9]+)条(の[一二三四五六七八九十百千万〇０-９0-9]+)?
,第六十七条の八,ARTICLE_REFERENCE,第六十七条の八,0,7,第([一二三四五六七八九十百千万〇０-９0-9]+)条(の[一二三四五六七八九十百千万〇０-９0-9]+)?
,第六十八条,ARTICLE_REFERENCE,第六十八条,0,5,第([一二三四五六七八九十百千万〇０-９0-9]+)条(の[一二三四五六七八九十百千万〇０-９0-9]+)?
,第六十八条の二,ARTICLE_REFERENCE,第六十八条の二,0,7,第([一二三四五六七八九十百千万〇０-９0-9]+)条(の[一二三四五六七八九十百千万〇０-９0-9]+)?
,第六十九条,ARTICLE_REFERENCE,第六十九条,0,5,第([一二三四五六七八九十百千万〇０-９0-9]+)条(の[一二三四五六七八九十百千万〇０-９0-9]+)?
,第七十条,ARTICLE_REFERENCE,第七十条,0,4,第([一二三四五六七八九十百千万〇０-９0-9]+)条(の[一二三四五六七八九十百千万〇０-９0-9]+)?
,第七十一条,ARTICLE_REFERENCE,第七十一条,0,5,第([一二三四五六七八九十百千万〇０-９0-9]+)条(の[一二三四五六七八九十百千万〇０-９0-9]+)?
,第七十一条の二,ARTICLE_REFERENCE,第七十一条の二,0,7,第([一二三四五六七八九十百千万〇０-９0-9]+)条(の[一二三四五六七八九十百千万〇０-９0-9]+)?
,第七十二条,ARTICLE_REFERENCE,第七十二条,0,5,第([一二三四五六七八九十百千万〇０-９0-9]+)条(の[一二三四五六七八九十百千万〇０-９0-9]+)?
,第七十三条,ARTICLE_REFERENCE,第七十三条,0,5,第([一二三四五六七八九十百千万〇０-９0-9]+)条(の[一二三四五六七八九十百千万〇０-９0-9]+)?
,第七十四条,ARTICLE_REFERENCE,第七十四条,0,5,第([一二三四五六七八九十百千万〇０-９0-9]+)条(の[一二三四五六七八九十百千万〇０-９0-9]+)?
,第七十五条,ARTICLE_REFERENCE,第七十五条,0,5,第([一二三四五六七八九十百千万〇０-９0-9]+)条(の[一二三四五六七八九十百千万〇０-９0-9]+)?
,第七十六条,ARTICLE_REFERENCE,第七十六条,0,5,第([一二三四五六七八九十百千万〇０-９0-9]+)条(の[一二三四五六七八九十百千万〇０-９0-9]+)?
,第七十七条,ARTICLE_REFERENCE,第七十七条,0,5,第([一二三四五六七八九十百千万〇０-９0-9]+)条(の[一二三四五六七八九十百千万〇０-９0-9]+)?
,第七十八条,ARTICLE_REFERENCE,第七十八条,0,5,第([一二三四五六七八九十百千万〇０-９0-9]+)条(の[一二三四五六七八九十百千万〇０-９0-9]+)?
,第七十九条,ARTICLE_REFERENCE,第七十九条,0,5,第([一二三四五六七八九十百千万〇０-９0-9]+)条(の[一二三四五六七八九十百千万〇０-９0-9]+)?
,第七十九条の二,ARTICLE_REFERENCE,第七十九条の二,0,7,第([一二三四五六七八九十百千万〇０-９0-9]+)条(の[一二三四五六七八九十百千万〇０-９0-9]+)?
,第八十条,ARTICLE_REFERENCE,第八十条,0,4,第([一二三四五六七八九十百千万〇０-９0-9]+)条(の[一二三四五六七八九十百千万〇０-９0-9]+)?
,第八十一条,ARTICLE_REFERENCE,第八十一条,0,5,第([一二三四五六七八九十百千万〇０-９0-9]+)条(の[一二三四五六七八九十百千万〇０-９0-9]+)?
,第八十二条,ARTICLE_REFERENCE,第八十二条,0,5,第([一二三四五六七八九十百千万〇０-９0-9]+)条(の[一二三四五六七八九十百千万〇０-９0-9]+)?
,第八十三条,ARTICLE_REFERENCE,第八十三条,0,5,第([一二三四五六七八九十百千万〇０-９0-9]+)条(の[一二三四五六七八九十百千万〇０-９0-9]+)?
,第八十四条,ARTICLE_REFERENCE,第八十四条,0,5,第([一二三四五六七八九十百千万〇０-９0-9]+)条(の[一二三四五六七八九十百千万〇０-９0-9]+)?
,第八十四条の二,ARTICLE_REFERENCE,第八十四条の二,0,7,第([一二三四五六七八九十百千万〇０-９0-9]+)条(の[一二三四五六七八九十百千万〇０-９0-9]+)?
,第八十五条,ARTICLE_REFERENCE,第八十五条,0,5,第([一二三四五六七八九十百千万〇０-９0-9]+)条(の[一二三四五六七八九十百千万〇０-９0-9]+)?
,第八十六条,ARTICLE_REFERENCE,第八十六条,0,5,第([一二三四五六七八九十百千万〇０-９0-9]+)条(の[一二三四五六七八九十百千万〇０-９0-9]+)?
,第八十七条,ARTICLE_REFERENCE,第八十七条,0,5,第([一二三四五六七八九十百千万〇０-９0-9]+)条(の[一二三四五六七八九十百千万〇０-９0-9]+)?
,第八十八条,ARTICLE_REFERENCE,第八十八条,0,5,第([一二三四五六七八九十百千万〇０-９0-9]+)条(の[一二三四五六七八九十百千万〇０-９0-9]+)?
,第八十九条,ARTICLE_REFERENCE,第八十九条,0,5,第([一二三四五六七八九十百千万〇０-９0-9]+)条(の[一二三四五六七八九十百千万〇０-９0-9]+)?
,第九十条,ARTICLE_REFERENCE,第九十条,0,4,第([一二三四五六七八九十百千万〇０-９0-9]+)条(の[一二三四五六七八九十百千万〇０-９0-9]+)?
,第九十一条,ARTICLE_REFERENCE,第九十一条,0,5,第([一二三四五六七八九十百千万〇０-９0-9]+)条(の[一二三四五六七八九十百千万〇０-９0-9]+)?
,第九十一条の二,ARTICLE_REFERENCE,第九十一条の二,0,7,第([一二三四五六七八九十百千万〇０-９0-9]+)条(の[一二三四五六七八九十百千万〇０-９0-9]+)?
,第九十二条,ARTICLE_REFERENCE,第九十二条,0,5,第([一二三四五六七八九十百千万〇０-９0-9]+)条(の[一二三四五六七八九十百千万〇０-９0-9]+)?
,第九十三条,ARTICLE_REFERENCE,第九十三条,0,5,第([一二三四五六七八九十百千万〇０-９0-9]+)条(の[一二三四五六七八九十百千万〇０-９0-9]+)?
,第九十四条,ARTICLE_REFERENCE,第九十四条,0,5,第([一二三四五六七八九十百千万〇０-９0-9]+)条(の[一二三四五六七八九十百千万〇０-９0-9]+)?
,第九十五条,ARTICLE_REFERENCE,第九十五条,0,5,第([一二三四五六七八九十百千万〇０-９0-9]+)条(の[一二三四五六七八九十百千万〇０-９0-9]+)?
,第九十六条,ARTICLE_REFERENCE,第九十六条,0,5,第([一二三四五六七八九十百千万〇０-９0-9]+)条(の[一二三四五六七八九十百千万〇０-９0-9]+)?
,第九十七条,ARTICLE_REFERENCE,第九十七条,0,5,第([一二三四五六七八九十百千万〇０-９0-9]+)条(の[一二三四五六七八九十百千万〇０-９0-9]+)?
,第九十八条,ARTICLE_REFERENCE,第九十八条,0,5,第([一二三四五六七八九十百千万〇０-９0-9]+)条(の[一二三四五六七八九十百千万〇０-９0-9]+)?
,第九十九条,ARTICLE_REFERENCE,第九十九条,0,5,第([一二三四五六七八九十百千万〇０-９0-9]+)条(の[一二三四五六七八九十百千万〇０-９0-9]+)?
,第百条,ARTICLE_REFERENCE,第百条,0,3,第([一二三四五六七八九十百千万〇０-９0-9]+)条(の[一二三四五六七八九十百千万〇０-９0-9]+)?
,第百一条,ARTICLE_REFERENCE,第百一条,0,4,第([一二三四五六七八九十百千万〇０-９0-9]+)条(の[一二三四五六七八九十百千万〇０-９0-9]+)?
,第百二条,ARTICLE_REFERENCE,第百二条,0,4,第([一二三四五六七八九十百千万〇０-９0-9]+)条(の[一二三四五六七八九十百千万〇０-９0-9]+)?
,第百三条,ARTICLE_REFERENCE,第百三条,0,4,第([一二三四五六七八九十百千万〇０-９0-9]+)条(の[一二三四五六七八九十百千万〇０-９0-9]+)?
,第百四条,ARTICLE_REFERENCE,第百四条,0,4,第([一二三四五六七八九十百千万〇０-９0-9]+)条(の[一二三四五六七八九十百千万〇０-９0-9]+)?
,第百四条の二,ARTICLE_REFERENCE,第百四条の二,0,6,第([一二三四五六七八九十百千万〇０-９0-9]+)条(の[一二三四五六七八九十百千万〇０-９0-9]+)?
,第百四条の三,ARTICLE_REFERENCE,第百四条の三,0,6,第([一二三四五六七八九十百千万〇０-９0-9]+)条(の[一二三四五六七八九十百千万〇０-９0-9]+)?
,第百四条の四,ARTICLE_REFERENCE,第百四条の四,0,6,第([一二三四五六七八九十百千万〇０-９0-9]+)条(の[一二三四五六七八九十百千万〇０-９0-9]+)?
,第百五条,ARTICLE_REFERENCE,第百五条,0,4,第([一二三四五六七八九十百千万〇０-９0-9]+)条(の[一二三四五六七八九十百千万〇０-９0-9]+)?
,第百五条の二,ARTICLE_REFERENCE,第百五条の二,0,6,第([一二三四五六七八九十百千万〇０-９0-9]+)条(の[一二三四五六七八九十百千万〇０-９0-9]+)?
,第百五条の二の二,ARTICLE_REFERENCE,第百五条の二,0,6,第([一二三四五六七八九十百千万〇０-９0-9]+)条(の[一二三四五六七八九十百千万〇０-９0-9]+)?
,第百五条の二の三,ARTICLE_REFERENCE,第百五条の二,0,6,第([一二三四五六七八九十百千万〇０-９0-9]+)条(の[一二三四五六七八九十百千万〇０-９0-9]+)?
,第百五条の二の四,ARTICLE_REFERENCE,第百五条の二,0,6,第([一二三四五六七八九十百千万〇０-９0-9]+)条(の[一二三四五六七八九十百千万〇０-９0-9]+)?
,第百五条の二の五,ARTICLE_REFERENCE,第百五条の二,0,6,第([一二三四五六七八九十百千万〇０-９0-9]+)条(の[一二三四五六七八九十百千万〇０-９0-9]+)?
,第百五条の二の六,ARTICLE_REFERENCE,第百五条の二,0,6,第([一二三四五六七八九十百千万〇０-９0-9]+)条(の[一二三四五六七八九十百千万〇０-９0-9]+)?
,第百五条の二の七,ARTICLE_REFERENCE,第百五条の二,0,6,第([一二三四五六七八九十百千万〇０-９0-9]+)条(の[一二三四五六七八九十百千万〇０-９0-9]+)?
,第百五条の二の八,ARTICLE_REFERENCE,第百五条の二,0,6,第([一二三四五六七八九十百千万〇０-９0-9]+)条(の[一二三四五六七八九十百千万〇０-９0-9]+)?
,第百五条の二の九,ARTICLE_REFERENCE,第百五条の二,0,6,第([一二三四五六七八九十百千万〇０-９0-9]+)条(の[一二三四五六七八九十百千万〇０-９0-9]+)?
,第百五条の二の十,ARTICLE_REFERENCE,第百五条の二,0,6,第([一二三四五六七八九十百千万〇０-９0-9]+)条(の[一二三四五六七八九十百千万〇０-９0-9]+)?
,第百五条の二の十一,ARTICLE_REFERENCE,第百五条の二,0,6,第([一二三四五六七八九十百千万〇０-９0-9]+)条(の[一二三四五六七八九十百千万〇０-９0-9]+)?
,第百五条の二の十二,ARTICLE_REFERENCE,第百五条の二,0,6,第([一二三四五六七八九十百千万〇０-９0-9]+)条(の[一二三四五六七八九十百千万〇０-９0-9]+)?
,第百五条の三,ARTICLE_REFERENCE,第百五条の三,0,6,第([一二三四五六七八九十百千万〇０-９0-9]+)条(の[一二三四五六七八九十百千万〇０-９0-9]+)?
,第百五条の四,ARTICLE_REFERENCE,第百五条の四,0,6,第([一二三四五六七八九十百千万〇０-９0-9]+)条(の[一二三四五六七八九十百千万〇０-９0-9]+)?
,第百五条の五,ARTICLE_REFERENCE,第百五条の五,0,6,第([一二三四五六七八九十百千万〇０-９0-9]+)条(の[一二三四五六七八九十百千万〇０-９0-9]+)?
,第百五条の六,ARTICLE_REFERENCE,第百五条の六,0,6,第([一二三四五六七八九十百千万〇０-９0-9]+)条(の[一二三四五六七八九十百千万〇０-９0-9]+)?
,第百五条の七,ARTICLE_REFERENCE,第百五条の七,0,6,第([一二三四五六七八九十百千万〇０-９0-9]+)条(の[一二三四五六七八九十百千万〇０-９0-9]+)?
,第百六条,ARTICLE_REFERENCE,第百六条,0,4,第([一二三四五六七八九十百千万〇０-９0-9]+)条(の[一二三四五六七八九十百千万〇０-９0-9]+)?
